CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Guinea-Bissau,GNB,Africa,1,306,30605,Western Africa,GW,624,30,33,"34,106",2,Regiao,Sector,,,,37, ,1991,966,"1,100","1,224",946,"1,078","1,199",-2.11,-2.12,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","The population figures 1990 are based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), estimated by Benoit Ninnin, and were based on Republica da Guine-Bissau, Recenseamento Geral da Populacao e da habitacao, 16 de Abril de 1979; and Republica da Guine-Bissau, Recenseamento Geral da Populacao da Populacao e da Habitacao, 1991, Resultadao Preliminares.",,Population data were projected to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,19,"280,913","1,294","24,139.53",Not available.,11,75,17,25.20,277,"249,439","7,122","31,467.27","346,140",0.81,28.27,32.30,1,10,0,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; Columbia Gazetteer; NIMA
Equatorial Guinea,GNQ,Africa,1,204,20405,Middle Africa,GQ,226,62,65,"27,104",2,Provincia,Distrito,,,,7, ,1983,348,395,452,352,399,457,1.10,1.09,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Estimates of population in 1990 based on: Republica de Guinea Ecuatorial (1983), Censos Nacionales de Poblacion y de Vivienda de 4 de Julio de 1983, Direccion General de Estadistica, Malabo; Republica de Guinea Ecuatorial (1987), Guinea en Cifras 1987, Direccion General de Estadistica, Malabo; and Republica de Guinea Ecuatorial (1990), Boletin Estadistica Anual 1990, Direccion General de Estadistica, Malabo.",,Population data were projected to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,15,"85,408","1,393","15,973.67","District centres and localities with 300 dwellings or more or with 1,500 inhabitants or more.",9,39,4,23.58,212,"56,533","7,126","19,380.33","174,423",0.78,38.59,49.30,1,7,1,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; NIMA
Kenya,KEN,Africa,1,388,38805,Eastern Africa,KE,404,9,4,"579,617",5,Province,District,Division,Locations,Sub-locations,6603,1989,1999,"22,138","25,533","29,544","23,574","27,315","30,669",6.09,3.67,"Kenyan Central Bureau of Statistics (CBS), http://www.cbs.go.ke/ .","1999 Population Census, Kenyan Central Bureau of Statistics (CBS); see http://www.cbs.go.ke/; and Kenya Government (undated), Census of Kenya 1989, Digital File","The Ilemi Triangle belongs to Sudan by treaty but is administered by Kenya. According to a recent paper by Collins http://www.history.ucsb.edu/faculty/Collinsmaterial/books/The%20Ilemi%20Triangle.pdf, SPLM/SPLA, the rebel group that controls Southern Sudan, probably quietly ceded the territory to Kenya.",A  district (administrative level 2) growth rate (1989–1999) used to project Sublocation (adminstrative level 5) 1999 population to target years.  1999 districts related to 1989 districts based on data from IPUMS (www.ipums.org).,77,"2,251,564","1,056","63,264.73","Towns with 2,000 inhabitants or more.",72,"1,198",3,51.76,"3,727","3,054,193","5,300","86,717.97","6,243,694",0.64,21.13,34.40,34,38,0,0,"1989 Kenya Population Census Analytical Report, UN Statistical Library; 1999 Kenya Population and Housing Census - Volume I, Census Bureau; 1999 Kenya Population and Housing Census - Volume I, Hardcopy at CIESIN; AFCities (provided by Uwe Deichman, World Bank)",NIMA; Times Atlas of the World 1999
Liberia,LBR,Africa,1,434,43405,Western Africa,LR,430,42,70,"96,166",2,County/Territory,District,,,,54, ,1983,"2,778","2,651","3,775","2,144","2,046","2,913",-29.57,-29.58,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov.,"The 1990 population figures are based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), and were estimated by Benoit Ninnin, using this source: Republic of Liberia: Ministry of Planning and Economic Affairs, 1983, Census of Population and Housing: Summary Population Results: Monrovia 1987.",,Population data were projected to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,27,"731,014","1,328","44,847.11","Localities with 2,000 inhabitants or more.",16,74,3,21.05,337,"170,657","6,822","67,293.50","1,076,696",0.35,28.52,45.50,1,14,1,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; NIMA
Libyan Arab Jamahiriya,LBY,Africa,1,438,43805,Northern Africa,LY,434,254,223,"1,611,363",1,Mohafada,,,,,25, ,1984,"4,545","5,013","5,577","4,311","4,755","5,290",-5.43,-5.42,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov.,"Estimates of 1990 population were based on 1984-based census results reported in Europa (1992), Africa - South of the Sahara - 1993, 22nd edition, Europa Publications, London, and Government of Libya (1973), Population census preliminary results, Ministry of Planning Census and Statistical Department.","Boundaries were digitized from the CIA map ""Libya"" dated 5-93. See http://www.lib.utexas.edu/Libs/PCL/Map_collection/africa/Libya.GIF.  Projection information was included on the map, but the scale was not. Due to the small cartographic scale of the map, however, the accuracy of the boundaries is very low. This may not matter much in the uninhabited desert areas, but may lead to errors in the urbanized coastal regions - particularly around Tripoli.
",Population data were projected to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,39,"1,698,327","10,190","123,541.67",Municipalities (baladiyas).,30,"2,418",33,323.85,"9,716","2,109,848","10,288","150,152.57","4,504,577",0.60,80.77,88.00,29,1,0,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; NIMA; Times Atlas of the World 1999; World Gazetteer
Lesotho,LSO,Africa,1,424,42405,Southern Africa,LS,426,55,196,"30,582",1,District,,,,,10,1986,1996,"1,687","1,814","1,961","1,682","1,869","2,035",-0.27,3.62,These boundaries were initially produced for the UNEP/GRID-WRI-NCGIA Africa Population Database (see the GRID-Sioux Falls Web site at http://grid2.cr.usgs.gov). ,"Lesotho Census, 1996 data downloaded from www.acap.upenn.edu; and Kingdom of Lesotho (1987), Population census 1986, Preliminary results, Bureau of Statistics, Maseru.",,,15,"220,135","2,540","31,475.33",District headquarters and other set_tlements with rapid population growth and with fa_cilities that tend to encourage people to engage in economic activities that are non-agricultural in na_ture.,13,186,21,49.63,645,"224,624","5,000","42,878.46","557,420",2.11,28.42,28.80,7,6,0,0,"1986 Lesotho Population Census Analysis Report Volume IV, UN Statistical Library",AFCities; NIMA; World Gazetteer
Morocco (includes Western Sahara),MAR,Africa,1,510,51005,Northern Africa,MA,504,117,606,"669,159",2,Province,Prefecture,,,,49,1982,1990,"24,487","27,061","29,712","24,624","27,213","29,878",0.56,0.56,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov.,"1990 population estimates are based on census figures and estimates for 1982 to 1990 available from a digital file produced by the National Statistical Office (from the Republique du Maroc, Recensement General de la Population), obtained through the UN Statistics Division's Software Development Project. Censuses were undertaken in 1982 and 1994.",,"Sidi Bernoussi-Zenata (geog code 5 in Centre) appears to be the same unit as Mohammedia-Znata. As there is no data available for Al Fida/Derb Sul, this was aggregated with Casablanca. 
Population data were projected to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",78,"3,361,373","20,562","183,845.90",Urban centres.,69,"1,784",18,163.48,"11,280","5,964,130","5,567","239,886.39","16,552,161",1.69,55.71,56.10,68,1,0,0,"1982 Census Morocco, UN Statistical Library; City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA; Times Atlas of the World 1999; UNSD; World Gazetteer
Madagascar,MDG,Africa,1,454,45405,Eastern Africa,MG,450,22,12,"592,965",3,Province/ Faritany,Prefecture/ Fivondronana,Sous-Prefecture,,,1242,1993,2001,"11,052","13,029","15,382","11,956","13,789","15,970",7.56,3.68,"Level 3 administrative boundaries were obtained via a database produced by the National Statistical Office and the Institut National de la Statistique et de la Recherche Economique, Tananarive, in collaboration with the UN Statistics Division's Software Development Project http://www.un.org/Depts/unsd/softproj/index.htm.","RGPH (Recensement Général de la Population et de l'Habitat) 1993, Institut National de la Statistique, Madagascar; 2001 level 2 population estimates were from Institut National de la Statistique at http://www.cite.mg/instat/pdf in the file estim-pop.pdf.",,Prefecture-level growth rates from 1993-2001 were used to project population to the target years. ,98,"1,288,926","5,866","36,697.84","Centres with more than 5,000 in_habitants.",70,416,1,25.91,"1,814","1,356,019","5,124","43,948.06","3,076,364",0.31,20.00,30.10,11,47,12,0,"1993 Recensement General de la Population et de L'Habit Tome VII, Census Bureau; AFCities (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",AFCities; NIMA; Times Atlas of the World 1999; UNSD; World Gazetteer
Mali,MLI,Africa,1,478,47805,Western Africa,ML,466,68,39,"1,248,137",2,Region,Cercle,,,,272,1987,1998,"8,102","9,704","10,732","8,778","9,928","11,351",7.70,5.46,USGS/EDC/USAID/FEWS project,"Recensement General de la Population et de L'Habitat (Avril 1998) -- Resultats Definitifs, Tome 4: Repertoire de Village ","Spatial boundaries were aggregated to match the population data as follows: (1) Oussoubidiagna and Goundara were aggregated into one unit called Oussoubidiagna (2) the sub-units of Menaka --Tidarmene, Inekar, Anderaboukane, and Menaka-- were aggregated into one unit called Menaka (3) the sub-units of Kidal --Tinkar, Tessalit, Aquel-Hor, Annefis, Essouk, Kidal, Bouressa, Abeilara, Abiyou, Tin-Zaouatene, Tin-Essako, and Tin-Esserine-- were aggregated into one unit called Kidal. ","Due to extensive boundary changes between 1990 and 1998, region (administrative 1 level) population growth rates were calculated between these two years and applied to the 1990 cercle (administrative 2 level) data to extrapolate to our target years of 1995 and 2000.",155,"1,116,462","4,125","19,398.04","Localities with 5,000 inhabitants or more and district centres.",103,564,3,30.75,"3,168","1,038,743","5,195","26,426.16","2,721,894",0.25,25.36,30.90,12,91,0,0,"1998 Recensement General Mali, Hardcopy at CIESIN; 1998 Recensement General Mali, UN Statistical Library",Carte Mali; Census; NIMA; Times Atlas of the World 1999
Mozambique,MOZ,Africa,1,514,51405,Eastern Africa,MZ,508,44,42,"777,123",3,Province,District,Posto,,,402,1991,1997,"12,451","14,392","16,743","13,645","16,293","18,292",8.75,8.47,International Food Policy Research Institute,"Instituto Nacional de Estatística Mozambique, Resultados Definitivos do Recenseamento Geral da População e Habitação (1997), http://www.ine.gov.mz/",,Province level growth rates (administrative level 1) from 1991–1997 were applied to the Posto (administrative level 3) units for projections.,78,"1,155,086","1,710","67,762.58",From 1950 to 1970: Conselho of Maputo and Beira; in the 1980 census: 12 cities (nince provincial capitals and the cities of Nacala and Chokwe); in the 1997 census: 23 cities and 68 towns (vilas).,69,324,1,39.36,"2,716","1,770,351","6,242","77,986.16","5,381,045",0.35,32.14,33.30,22,47,0,0,"AFCities (provided by Uwe Deichman, World Bank); Census 1997 Mozambique, Instituto Nacional de Estat¡stica, www.ine.gov.mz/ (and CD from IFPRI)",AFCities; Columbia Gazetteer; NIMA; Times Atlas of the World 1999; World Gazetteer
Mauritania,MRT,Africa,1,488,48805,Western Africa,MR,478,140,48,"1,036,905",2,Wilaya,Moughataa,,,,53,1988,2000,"2,070","2,275","2,548","1,057","1,114","1,161",-95.84,-119.48,EDC Africa Data Dissemination Service from http://edcw2ks21.cr.usgs.gov/adds/,"2000 census data from Ministere des Affaires Econommiques et du Dedeveloppement Office National de la Statistique Bureau Central du Recensement, Resultats Provisoires du Troisieme Recensement General de la Population et de L'Habitat -2000; and 1988 census data from Bureau du recensement: Resultats prioritaires du Recensement de la population et de l'habitat, 1988, Vol. I: Nouakchott 1992.","Spatial data for the administrative unit (Wilaya) of Nouakchott was added via geo-rectification and drawing with shapefile provided by Piet Buys at the World Bank. The units added include the Moughataa: Toujounine, Ksar, Dar Naim, Riadh, El Mina, Sebka, Tevaragh, Zeina, Arafat, and Teyarett.",,28,"746,466","1,020","50,185.39",Urban centres.,13,278,13,44.35,577,"218,826","6,732","27,947.08","363,312",0.06,14.26,59.10,3,10,0,0,"AFCities (provided by Uwe Deichman, World Bank); La Mauritanie en Chiffres, Office National de la Statistique Edition 1997, UN Statistical Library; Resultas Prioritaires du Recensement de la Population et de L'Habitat 1988, UN Statistical Library; World Gazetteer, www.gazetteer.de",AFCities; NIMA; World Gazetteer
Mauritius,MUS,Africa,1,490,49005,Eastern Africa,MU,480,3,6,"1,993",3,Island,District,Municipal Ward / Village Council Area,,,186,1990,2000,"1,057","1,116","1,179","1,057","1,114","1,161",0.00,-1.54,"For the Main Island, The Central Statistics Office, LIC Centre, 1, John Kennedy Street, Port Louis, Mauritius, available from http://ncb.intnet.mu/cso/mifig/popu.htm. 
For the Island of Rodrigues, Digital Chart of the World (DCW).","Mauritius in Figures 2001, population data 2000, the Central Statistics Office, LIC Centre, 1, John Kennedy Street, Port Louis, Mauritius.   http://ncb.intnet.mu/cso/mifig/popu.htm","Spatial and population data for the main Island of Mauritius is for administrative level 3.  However, due to lack of spatial data for other islands, the same level of detail could not be employed for the surrounding areas.  The Island of Rodrigues, however, was added at administrative level 2.  This was done via coastline data (built in to polygons) extracted from the NOAA coastline extractor (http://rimmer.ngdc.noaa.gov/coast/getcoast.html). Arbitrary administrative IDs were assigned (unique per island in the group surrounding Rodrigues) and the population was assigned to the main island only.","9 units confirmed by national office of statistics as having no population data. There are an additional 8 records relating to small islands with no discernable codes that could nor be formally verified.  
National level growth rates from 1990-2000 applied across all the administrative units
",94,"127,855","1,043","11,074.09",Towns with proclaimed legal limits.,4,941,37,302.73,"1,211","812,723","13,962","229,659.50","918,638",60.75,77.93,41.60,4,0,0,0,"2000 Mauritius Housing and Population Census, http://ncb.intnet.mu/cso.htm; Census, http://ncb.intnet.mu/cso.htm",AFCities; World Gazetteer
